cellLine,drug,doseID,concentration,viability,study
22RV1,Nilotinib,doses1,0.0025,109.98,CCLE
22RV1,Nilotinib,doses2,0.008,107.66,CCLE
22RV1,Nilotinib,doses3,0.025,97.8,CCLE
22RV1,Nilotinib,doses4,0.08,115.1,CCLE
22RV1,Nilotinib,doses5,0.25,129.5,CCLE
22RV1,Nilotinib,doses6,0.8,121.2,CCLE
22RV1,Nilotinib,doses7,2.53,112.3,CCLE
22RV1,Nilotinib,doses8,8,86,CCLE
5637,Nilotinib,doses1,0.0025,104.61,CCLE
5637,Nilotinib,doses2,0.008,107.01,CCLE
5637,Nilotinib,doses3,0.025,110.7,CCLE
5637,Nilotinib,doses4,0.08,101.01,CCLE
5637,Nilotinib,doses5,0.25,118.4,CCLE
5637,Nilotinib,doses6,0.8,106.73,CCLE
5637,Nilotinib,doses7,2.53,102.73,CCLE
5637,Nilotinib,doses8,8,43,CCLE
639-V,Nilotinib,doses1,0.0025,106.81,CCLE
639-V,Nilotinib,doses2,0.008,85,CCLE
639-V,Nilotinib,doses3,0.025,94.9,CCLE
639-V,Nilotinib,doses4,0.08,95.5,CCLE
639-V,Nilotinib,doses5,0.25,102.62,CCLE
639-V,Nilotinib,doses6,0.8,103.57,CCLE
639-V,Nilotinib,doses7,2.53,102.79,CCLE
639-V,Nilotinib,doses8,8,52,CCLE
697,Nilotinib,doses1,0.0025,103.03,CCLE
697,Nilotinib,doses2,0.008,97.8,CCLE
697,Nilotinib,doses3,0.025,116.8,CCLE
697,Nilotinib,doses4,0.08,114.5,CCLE
697,Nilotinib,doses5,0.25,90,CCLE
697,Nilotinib,doses6,0.8,71,CCLE
697,Nilotinib,doses7,2.53,46,CCLE
697,Nilotinib,doses8,8,35,CCLE
769-P,Nilotinib,doses1,0.0025,127,CCLE
769-P,Nilotinib,doses2,0.008,119.7,CCLE
769-P,Nilotinib,doses3,0.025,135.2,CCLE
769-P,Nilotinib,doses4,0.08,125,CCLE
769-P,Nilotinib,doses5,0.25,103.26,CCLE
769-P,Nilotinib,doses6,0.8,95.8,CCLE
769-P,Nilotinib,doses7,2.53,85,CCLE
769-P,Nilotinib,doses8,8,50,CCLE
786-0,Nilotinib,doses1,0.0025,98.9,CCLE
786-0,Nilotinib,doses2,0.008,94,CCLE
786-0,Nilotinib,doses3,0.025,101.59,CCLE
786-0,Nilotinib,doses4,0.08,96.1,CCLE
