cellLine,drug,ic50_CCLE,auc_CCLE,ic50_GDSC,auc_GDSC
22RV1,Nilotinib,8,0,155.269916621107,0.00393500000000002
5637,Nilotinib,7.475354671,0.00726249999999999,219.934549540236,0.00361599999999995
639-V,Nilotinib,8,0.0710125,92.1771252002189,0.00762200000000002
697,Nilotinib,1.910434365,0.1573375,3.06355191701204,0.069265
769-P,Nilotinib,8,0,19.6335139217714,0.028758
786-0,Nilotinib,8,0.0750125,137.066882482025,0.00548199999999999
8305C,Nilotinib,5.635250228,0.047425,204.130807175403,0.00356299999999998
8505C,Nilotinib,6.852528572,0.0946375,6.57911343541262,0.061648
A172,Nilotinib,8,0,137.794714289114,0.00464900000000001
A204,Nilotinib,1.081994414,0.2399875,1.57205235789288,0.134015
A2058,Nilotinib,8,0,98.7042494779046,0.00712100000000004
A253,Nilotinib,8,0.0168875,234.179754012638,0.00209199999999998
A2780,Nilotinib,6.804694176,0.0423625,102.153440340853,0.00749900000000003
A375,Nilotinib,8,0.10083125,14.2357015076932,0.037577
A549,Nilotinib,6.0388937,0.1044125,130.491879660115,0.00453199999999998
AN3-CA,Nilotinib,8,0,122.699466045502,0.00735200000000003
AsPC-1,Nilotinib,8,0.083625,105.229533752924,0.00644400000000001
AU565,Nilotinib,7.879194736,0.1109375,122.951134998221,0.006185
BCPAP,Nilotinib,7.456087112,0.0574125,9.02561819559568,0.07294
BFTC-909,Nilotinib,8,0,69.0020352128037,0.010455
BL-41,Nilotinib,8,0.0040625,67.3501412427714,0.010249
BT-20,Nilotinib,8,0.052875,91.9880796838046,0.00724800000000003
BT-474,Nilotinib,6.892540932,0.0590875,225.764856577764,0.00245700000000004
BT-549,Nilotinib,8,0.0368875,72.8801273249911,0.00938700000000003
C2BBe1,Nilotinib,6.82102108,0.0180875,32.2633851323861,0.030435
C32,Nilotinib,8,0.0386875,9.16727429009715,0.047604
CAL-85-1,Nilotinib,8,0,25.4576936034024,0.042299
Calu-3,Nilotinib,8,0.0173625,181.978218255546,0.00406499999999999
CAMA-1,Nilotinib,6.332070827,0.041275,57.114727037449,0.015446
Capan-2,Nilotinib,0.062944786,0.097025,257.816476394282,0.00222699999999998
CAS-1,Nilotinib,8,0.0309875,160.792224423428,0.00384399999999996
CHL-1,Nilotinib,8,0.0364625,170.872044734893,0.00381100000000001
COLO-205,Nilotinib,8,0.0441375,42.3459591092932,0.019658
COLO-320-HSR,Nilotinib,4.991260529,0.1188375,93.3425444343872,0.0103259999999999
COLO-678,Nilotinib,8,0,207.632771978275,0.00349999999999995
COLO-679,Nilotinib,7.357892513,0.074225,7.98671071661609,0.050834
COR-L23,Nilotinib,8,0.021525,184.377631585808,0.00400599999999995
Daoy,Nilotinib,8,0.0418875,134.004716889595,0.006073
DBTRG-05MG,Nilotinib,8,0.0159625,24.2509550472563,0.026089
DEL,Nilotinib,6.26444149,0.1246625,285.493425268779,0.002193
Detroit562,Nilotinib,8,0.0465125,58.5705493832205,0.013594
DK-MG,Nilotinib,8,0,47.0634645294609,0.0142910000000001
DMS-114,Nilotinib,6.058652401,0.0845714285714286,176.83109297778,0.00357099999999999
DOHH-2,Nilotinib,8,0.05085,110.806894820615,0.00660000000000005
DU-145,Nilotinib,8,0,67.9994080506012,0.01185
EB2,Nilotinib,8,0,249.770126283118,0.00201700000000005
EFE-184,Nilotinib,8,0,303.574484851912,0.00218200000000002
EFM-19,Nilotinib,8,0.00232500000000001,150.024857945059,0.00496300000000005
EFO-21,Nilotinib,8,0,279.940197499839,0.00213600000000003
EFO-27,Nilotinib,8,0.032225,97.6118597628061,0.00688699999999998
EM-2,Nilotinib,0.007538102,0.757,0.000134602845575519,0.230293
FADU,Nilotinib,5.612988949,0.0614125,178.56220001686,0.00387700000000002
G-361,Nilotinib,8,0.0704,285.052393438761,0.00216000000000005
G-401,Nilotinib,8,0.042475,84.1961335196722,0.010529
GB-1,Nilotinib,8,0.07505,116.238602889378,0.00597199999999998
GCIY,Nilotinib,6.325265884,0.0346375,108.108137572133,0.00732500000000003
GCT,Nilotinib,8,0.0598375,81.1576857590354,0.010518
GMS-10,Nilotinib,8,0,228.60119984209,0.00363899999999995
H4,Nilotinib,7.630359173,0.0321375,26.4242989076404,0.028145
HCC1187,Nilotinib,8,0,211.109087025837,0.006027
HCC1569,Nilotinib,8,0.018875,172.177513527006,0.003973
HCC1806,Nilotinib,7.519812584,0.095475,64.1546772789011,0.012358
HCC1954,Nilotinib,5.009234905,0.010225,92.4130312917818,0.00836000000000003
HCC70,Nilotinib,8,0,17.7066451265186,0.054382
HCT-116,Nilotinib,8,0,27.4349020432073,0.033431
HCT-15,Nilotinib,6.496217728,0.0737125,315.970229908931,0.00224899999999995
HEC-1,Nilotinib,4.339510496,0.0507125,10.2803879742433,0.058948
